1. Name: Brakkam, Hitrate (Percent): 100, Shots fired: 2, Time(sec): 2
2. Name: PALL, Hitrate (Percent): 100, Shots fired: 2, Time(sec): 2
3. Name: Hanna, Hitrate (Percent): 100, Shots fired: 2, Time(sec): 3
4. Name: Dunder, Hitrate (Percent): 100, Shots fired: 2, Time(sec): 5
5. Name: Axel, Hitrate (Percent): 100, Shots fired: 2, Time(sec): 6
6. Name: Oliver, Hitrate (Percent): 100, Shots fired: 2, Time(sec): 10
7. Name: KeffaAdam, Hitrate (Percent): 100, Shots fired: 32, Time(sec): 22
8. Name: GEELONG, Hitrate (Percent): 100, Shots fired: 32, Time(sec): 23
9. Name: GEEDOG, Hitrate (Percent): 100, Shots fired: 32, Time(sec): 33
